Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Curt Bennett,1973,1973,1,16,0,1,1,-2,11,0,0,0,0,1,0,0,13,0,,,bennecu01
Rick Bennett,1990,1992,3,15,1,1,2,-6,13,1,0,0,0,1,0,0,11,9.1,,,benneri01
Doug Bentley*,1954,1954,1,20,2,10,12,,2,2,0,0,0,2,8,0,,,,,bentldo01
Max Bentley*,1954,1954,1,57,14,18,32,,15,5,9,0,2,3,14,1,,,,,bentlma01
Bryan Berard,2002,2002,1,82,2,21,23,-1,60,2,0,0,0,15,5,1,132,1.5,1610,19:38,berarbr01
Red Berenson,1967,1968,2,49,2,6,8,-6,4,2,0,0,0,6,0,0,71,2.8,,,berenre01
Bill Berg,1996,1998,3,152,11,16,27,-13,100,8,0,3,3,16,0,0,185,5.9,925,,bergbi01
Blair Betts,2006,2009,4,304,25,15,40,-23,84,20,1,4,1,13,1,1,382,6.5,3753,12:21,bettsbl01
Jeff Beukeboom,1992,1999,8,520,18,72,90,63,1157,17,1,0,1,66,0,6,333,5.4,1712,38:03:00,beukeje01
Nick Beverley,1975,1977,3,139,4,23,27,4,67,4,0,0,0,22,0,1,155,2.6,,,beverni01
Stu Bickel,2012,2013,2,67,0,9,9,0,157,0,0,0,0,8,0,1,24,0,621,9:16,bickest01
Anthony Bitetto,2021,2021,1,14,1,3,4,-8,20,1,0,0,0,2,1,0,12,8.3,202,14:26,bitetan01
Bob Blackburn,1969,1969,1,11,0,0,0,4,0,0,0,0,0,0,0,0,6,0,,,blackbo01
Don Blackburn,1970,1971,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,blackdo01
Colin Blackwell,2021,2021,1,47,12,10,22,2,15,9,3,0,2,8,2,0,64,18.8,658,14:00,blackco01
Sammy Blais,2022,2023,2,54,0,9,9,4,25,0,0,0,0,9,0,0,48,0,574,10:37,blaissa01
Mike Blaisdell,1984,1985,2,48,6,6,12,-4,42,6,0,0,1,6,0,0,81,7.4,,,blaismi01
Jeff Bloemberg,1989,1992,4,43,3,6,9,-2,25,1,2,0,1,2,4,0,38,7.9,,,bloemje01
Sylvain Blouin,1997,1998,2,7,0,0,0,-1,23,0,0,0,0,0,0,0,1,0,1,,blouisy01
